"Código
Concelho";"Designação
Concelho";Código;Freguesias antes da Reorganização;Alteração;"Código
Novo";Freguesias - Reorganização de 2013;
0101;AGUEDA;010103;Aguada de Cima;;010103;Aguada de Cima;
0101;AGUEDA;010109;Fermentelos;;010109;Fermentelos;
0101;AGUEDA;010112;Macinhata do Vouga;;010112;Macinhata do Vouga;
0101;AGUEDA;010119;Valongo do Vouga;;010119;Valongo do Vouga;
0101;AGUEDA;010104;Águeda;Junção;010121;União das freguesias de Águeda e Borralha;
0101;AGUEDA;010120;Borralha;Junção;010121;União das freguesias de Águeda e Borralha;
0101;AGUEDA;010102;Aguada de Baixo;Junção;010122;União das freguesias de Barrô e Aguada de Baixo;
0101;AGUEDA;010105;Barrô;Junção;010122;União das freguesias de Barrô e Aguada de Baixo;
0101;AGUEDA;010101;Agadão;Junção;010123;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;
0101;AGUEDA;010106;Belazaima do Chão;Junção;010123;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;
0101;AGUEDA;010107;Castanheira do Vouga;Junção;010123;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;
0101;AGUEDA;010108;Espinhel;Junção;010124;União das freguesias de Recardães e Espinhel;
0101;AGUEDA;010115;Recardães;Junção;010124;União das freguesias de Recardães e Espinhel;
0101;AGUEDA;010113;Óis da Ribeira;Junção;010125;União das freguesias de Travassô e Óis da Ribeira;
0101;AGUEDA;010117;Travassô;Junção;010125;União das freguesias de Travassô e Óis da Ribeira;
0101;AGUEDA;010110;Lamas do Vouga;Junção;010126;União das freguesias de Trofa, Segadães e Lamas do Vouga;
0101;AGUEDA;010116;Segadães;Junção;010126;União das freguesias de Trofa, Segadães e Lamas do Vouga;
0101;AGUEDA;010118;Trofa;Junção;010126;União das freguesias de Trofa, Segadães e Lamas do Vouga;
0101;AGUEDA;010111;Macieira de Alcoba;Junção;010127;União das freguesias do Préstimo e Macieira de Alcoba;
0101;AGUEDA;010114;Préstimo;Junção;010127;União das freguesias do Préstimo e Macieira de Alcoba;
0102;ALBERGARIA-A-VELHA;010202;Alquerubim;;010202;Alquerubim;
0102;ALBERGARIA-A-VELHA;010203;Angeja;;010203;Angeja;
0102;ALBERGARIA-A-VELHA;010204;Branca;;010204;Branca;
0102;ALBERGARIA-A-VELHA;010206;Ribeira de Fráguas;;010206;Ribeira de Fráguas;
0102;ALBERGARIA-A-VELHA;010201;Albergaria-a-Velha;Junção;010209;Albergaria-a-Velha e Valmaior;
0102;ALBERGARIA-A-VELHA;010208;Valmaior;Junção;010209;Albergaria-a-Velha e Valmaior;
0102;ALBERGARIA-A-VELHA;010205;Frossos;Junção;010210;São João de Loure e Frossos;
0102;ALBERGARIA-A-VELHA;010207;São João de Loure;Junção;010210;São João de Loure e Frossos;
0103;ANADIA;010304;Avelãs de Caminho;;010304;Avelãs de Caminho;
0103;ANADIA;010305;Avelãs de Cima;;010305;Avelãs de Cima;
0103;ANADIA;010307;Moita;;010307;Moita;
0103;ANADIA;010309;Sangalhos;;010309;Sangalhos;
0103;ANADIA;010310;São Lourenço do Bairro;;010310;São Lourenço do Bairro;
0103;ANADIA;010312;Vila Nova de Monsarros;;010312;Vila Nova de Monsarros;
0103;ANADIA;010313;Vilarinho do Bairro;;010313;Vilarinho do Bairro;
