Cód;ME;DiCo;DiCoFre;LATITUDE;LONGITUDE
AA0001;AA00D;1602;160224;41.856748;-8.851622
AA0002;AA00M;1602;160222;41.859174;-8.827262
AA0003;AA01D;1602;;;
AA0004;AA02H;1602;160225;41.855284;-8.817304
AA0005;AA03B;1602;160225;41.84068;-8.816459
AA0006;AA03G;1602;160215;41.88285;-8.816229
AA0007;AA03T;1602;160201;41.79103;-8.84448
AA0008;AA04D;1602;160222;41.864894;-8.847261
AA0009;AA04N;1602;160201;41.799544;-8.837041
AA0010;AA04R;1609;160914;41.801651;-8.833745
AA0011;AA05D;1602;160224;41.855016;-8.846264
AA0012;AA05F;1602;;;
AA0013;AA06F;1602;160224;;
AA0014;AA08B;1602;160225;41.8372;-8.811157
AA0015;AA09B;1602;160225;41.8409;-8.816875
AA0016;AA09M;1602;;;
AA0017;AA10F;1602;160224;;
AA0018;AA10H;1602;160225;41.8601;-8.814222
AA0019;AA11M;1602;160222;41.868911;-8.837252
AA0020;AA12B;1602;160225;41.84104;-8.817124
AA0021;AA12L;1602;160218;41.88678;-8.792039
AA0022;AA12M;1602;160222;41.85883;-8.825737
AA0023;AA14M;1602;160222;41.859005;-8.82883
AA0024;AA15H;1602;160225;41.84782;-8.803048
AA0025;AA15M;1602;160222;41.861474;-8.824004
AA0026;AA18B;1602;160225;41.84097;-8.81136
AA0027;AA20B;1602;160225;41.84061;-8.816979
AA0028;AA20L;1602;;;
AA0029;AA22A;1602;160205;41.86862;-8.786026
AA0030;AA22H;1602;160217;;
AA0031;AA24A;1602;;;
AA0032;AA24B;1602;160225;41.838509;-8.818991
AA0033;AA24M;1602;160222;41.854836;-8.825615
AA0034;AA25A;1602;160205;41.86633;-8.792113
AA0035;AA26H;1602;;;
AA0036;AA27M;1602;;;
AA0037;AA28I;1602;;;
AA0038;AA29A;1602;160205;41.86611;-8.786707
AA0039;AA2AB;1602;160223;41.80745;-8.772336
AA0040;AA2AF;1602;;;
AA0041;AA31M;1602;160222;41.865821;-8.838173
AA0042;AA34B;1602;160225;41.841754;-8.81506
AA0043;AA35B;1602;160225;41.837622;-8.814602
AA0044;AA38M;1602;160222;41.868349;-8.827587
AA0045;AA39H;1602;160225;41.86075;-8.819667
AA0046;AA39M;1602;160222;;
AA0047;AA44A;1602;160205;41.86995;-8.78869
AA0048;AA45M;1602;160222;41.867791;-8.836634
AA0049;AA47H;1602;160225;41.8625;-8.815782
AA0050;AA48H;1602;160225;;
AA0051;AA49H;1602;160225;41.857344;-8.813263
AA0052;AA51H;1602;160225;41.86049;-8.806865
AA0053;AA53H;1602;160225;;
AA0054;AA5AB;1602;160217;41.81342;-8.844351
AA0055;AA66H;1602;160225;41.86093;-8.80692
AA0056;AA67H;1602;160225;41.85624;-8.810599
AA0057;AA70H;1602;;;
AA0058;AA73H;1602;;;
AA0059;AA77H;1602;160225;41.85436;-8.823324
AA0060;AA89H;1602;;;
AA0061;AA94H;1602;160225;41.85372;-8.822998
AA0062;AA97H;1602;160225;41.846699;-8.803318
AA0063;AAA00;1602;160221;41.8519;-8.743488
AA0064;AAA03;1602;;;
AA0065;AAA05;1602;160221;41.85081;-8.744619
AA0066;AAA13;1602;;;
AA0067;AAA14;1602;160221;41.827964;-8.68733
AA0068;AAA21;1602;160221;41.83273;-8.694886
AA0069;AAA25;1602;;;
AA0070;AAA27;1602;160221;41.840221;-8.705077
AA0071;AAA28;1602;;;
AA0072;AAA30;1602;160221;41.83995;-8.702539
AA0073;AAA31;1602;;;
AA0074;AAA34;1602;;;
AA0075;AAA41;1602;;;
AA0076;AAA45;1602;160221;41.84157;-8.707403
AA0077;AAA47;1602;;;
AA0078;AAA48;1602;;;
AA0079;AAA49;1602;;;
AA0080;AAA51;1602;;;
AA0081;AAA52;1602;;;
AA0082;AAA53;1602;160221;41.846;-8.712768
AA0083;AAA58;1602;;;
AA0084;AAA60;1602;160221;41.858517;-8.711487
AA0085;AAA72;1602;;;
AA0086;AAA75;1602;160201;41.801844;-8.838319
AA0087;AAA94;1602;160201;41.79443;-8.850354
AA0088;AAA95;1602;160201;41.79423;-8.85106
AA0089;AAA98;1602;160201;41.803243;-8.850574
AA0090;AAB09;1602;160201;41.79816;-8.850251
AA0091;AAB10;1602;160201;41.78996;-8.848305
AA0092;AAB14;1602;160217;;
AA0093;AAB15;1602;160201;41.80304;-8.837468
AA0094;AAB18;1602;160217;41.818256;-8.845542
AA0095;AAB27;1602;160220;41.81612;-8.838307
AA0096;AAB55;1602;160217;41.81689;-8.844164
AA0097;AAB73;1602;160217;41.817102;-8.841648
AA0098;AAB74;1602;160217;41.80573;-8.845351
AA0099;AAB85;1602;;;
AA0100;AAB94;1602;;;
AA0101;AAB95;1602;;;
AA0102;AAB99;1602;160209;41.828556;-8.762612
AA0103;AAC02;1602;160209;41.828748;-8.762098
AA0104;AAC03;1602;160209;41.82842;-8.761372
AA0105;AAC07;1602;;;
AA0106;AAC09;1602;160223;;
AA0107;AAC11;1602;160209;41.83758;-8.765369
AA0108;AAC14;1602;;;
AA0109;AAC15;1602;;;
AA0110;AAC19;1602;160209;41.837269;-8.766328
AA0111;AAC20;1602;160209;41.83563;-8.764827
AA0112;AAC27;1602;160209;41.841279;-8.771624
AA0113;AAC31;1602;160209;41.840725;-8.772978
AA0114;AAC54;1602;160209;41.843982;-8.765294
AA0115;AAC56;1602;160209;41.84405;-8.768402
AA0116;AAC58;1602;160209;41.844552;-8.768191
AA0117;AAC60;1602;160209;41.8452;-8.765992
AA0118;AAC61;1602;;;
AA0119;AAC66;1602;;;
AA0120;AAC70;1602;160223;41.81871;-8.77889
AA0121;AAC73;1602;160223;41.81761;-8.778285
AA0122;AAC77;1602;;;
AA0123;AAC81;1602;;;
AA0124;AAC85;1602;;;
AA0125;AAC89;1602;160223;41.823156;-8.778936
AA0126;AAC91;1602;160223;41.823558;-8.777497
AA0127;AAC92;1602;160223;;
AA0128;AAC93;1602;;;
AA0129;AAC95;1602;;;
AA0130;AAC96;1602;;;
AA0131;AAC97;1602;160223;41.824735;-8.779752
AA0132;AAC98;1602;160223;41.82324;-8.778064
AA0133;AAC99;1602;;;
AA0134;AAD02;1602;160223;41.824539;-8.778768
AA0135;AAD03;1602;160223;41.820091;-8.77479
AA0136;AAD04;1602;160223;41.816985;-8.771921
AA0137;AAD05;1602;160223;41.819244;-8.774356
AA0138;AAD07;1602;160223;41.821002;-8.773875
AA0139;AAD10;1602;;;
AA0140;AAD13;1602;160223;41.819398;-8.773422
AA0141;AAD15;1602;160223;41.819226;-8.770174
AA0142;AAD20;1602;160223;41.817243;-8.774985
AA0143;AAD22;1602;160223;41.81196;-8.771956
AA0144;AAD23;1602;160223;41.81135;-8.77166
AA0145;AAD24;1602;160223;41.80203;-8.768699
AA0146;AAD30;1602;160223;41.803162;-8.766341
AA0147;AAD32;1602;160223;41.80105;-8.786707
AA0148;AAD36;1602;160223;41.80379;-8.773389
AA0149;AAD41;1602;160223;41.802337;-8.768163
AA0150;AAD43;1602;160223;41.809131;-8.776211
AA0151;AAD45;1602;160223;41.801858;-8.776267
AA0152;AAD46;1602;160223;41.80353;-8.772532
AA0153;AAD53;1602;;;
AA0154;AAD60;1602;160223;41.8018;-8.773072
AA0155;AAD61;1602;160223;41.80363;-8.76201
AA0156;AAD63;1602;160223;41.80778;-8.773855
AA0157;AAD64;1602;160214;41.80763;-8.832711
AA0158;AAD72;1602;160214;41.816051;-8.794676
AA0159;AAD75;1602;;;
AA0160;AAD78;1602;160214;41.81751;-8.79732
AA0161;AAD82;1602;160214;41.81389;-8.795973
AA0162;AAD84;1602;;;
AA0163;AAD86;1602;160214;41.804437;-8.812657
AA0164;AAD88;1602;160214;41.80304;-8.813373
AA0165;AAD96;1602;160214;41.805594;-8.817231
AA0166;AAD98;1602;160214;41.804905;-8.814686
AA0167;AAE05;1602;160214;41.806038;-8.833884
AA0168;AAE06;1602;160214;41.80725;-8.835026
AA0169;AAE08;1602;160214;41.80283;-8.810427
AA0170;AAE15;1602;160214;41.81244;-8.813215
AA0171;AAE18;1602;160214;41.815755;-8.816894
AA0172;AAE20;1602;160214;41.815337;-8.81589
AA0173;AAE23;1602;160214;41.804223;-8.811845
AA0174;AAE25;1602;160214;;
AA0175;AAE30;1602;160214;41.81485;-8.816929
AA0176;AAE33;1602;160214;41.809616;-8.825634
AA0177;AAE36;1602;160214;41.80855;-8.823643
AA0178;AAE40;1602;160214;41.80444;-8.813324
AA0179;AAE43;1602;160214;41.815433;-8.817732
AA0180;AAE49;1602;;;
AA0181;AAE51;1602;160214;41.80729;-8.835587
AA0182;AAE73;1602;160201;41.79523;-8.841537
AA0183;AAE77;1602;160220;41.81289;-8.833327
AA0184;AAE79;1602;160220;41.81685;-8.836801
