Quadro extraído em 13 de Dezembro de 2022 (16:07:19);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de bens (Nomenclatura combinada - NC8);Exportações (kg) de bens por Local de destino e Tipo de bens (Nomenclatura combinada - NC8) -  Mensal (2) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dezembro de 2017;Novembro de 2017;Outubro de 2017;Setembro de 2017;Agosto de 2017;Julho de 2017;Junho de 2017;Maio de 2017;Abril de 2017;Março de 2017;Fevereiro de 2017;Janeiro de 2017;Dezembro de 2016;Novembro de 2016;Outubro de 2016;Setembro de 2016;Agosto de 2016;Julho de 2016;Junho de 2016;Maio de 2016;Abril de 2016;Março de 2016;Fevereiro de 2016;Janeiro de 2016;Dezembro de 2015;Novembro de 2015;Outubro de 2015;Setembro de 2015;Agosto de 2015;Julho de 2015;Junho de 2015;Maio de 2015;Abril de 2015;Março de 2015;Fevereiro de 2015;Janeiro de 2015;Dezembro de 2014;Novembro de 2014;Outubro de 2014;Setembro de 2014;Agosto de 2014;Julho de 2014;Junho de 2014;Maio de 2014;Abril de 2014;Março de 2014;Fevereiro de 2014;Janeiro de 2014;Dezembro de 2013;Novembro de 2013;Outubro de 2013;Setembro de 2013;Agosto de 2013;Julho de 2013;Junho de 2013;Maio de 2013;Abril de 2013;Março de 2013;Fevereiro de 2013;Janeiro de 2013
;Local de destino (1) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MUNDO: Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg 
Total;3127806001;3266441539;3339995701;3415149877;3175433278;3188550129;3419568952;3538547258;3097871056;3532550641;3034914360;3165232878;3149989060;3326665374;3256010488;3117686799;2773692741;3284660254;3333058331;3225319422;3136557820;3307629292;2889477855;2729080106;3124419718;3345084532;3282144420;3233353244;2796623254;3507530981;3465708100;3363111037;3509960387;3468761296;2970079019;3109624634;3161762339;3146589548;3543359865;3178637439;3004607873;3473496548;3478015879;3305402370;3188417205;3126653188;2770162532;3130144430;2833984414;3264340768;3296100253;3214553275;3182335246;3275917772;3221358919;3454977950;3428460916;3066875329;2719516345;2787285743
Animais vivos e produtos do reino animal;49269025;66809678;60630563;58841496;57141174;57892997;59407271;67370603;52065104;69820417;48375542;51459696;57019786;76619319;67050074;64342805;52366650;52657287;55167724;59165523;54816972;53591459;48187337;47983636;60098306;65878756;77738991;64181947;55120201;64479051;59162762;55069935;59740362;68735144;56383028;56083826;57533749;69578629;74318740;63376141;56407178;62238857;60146598;59474963;58357596;62253572;56357148;59243813;58471720;70426300;69493752;62901603;55080082;62654244;53400449;56138824;58428450;58123790;53099483;57459803
Produtos do reino vegetal;150913815;180058901;174231790;182701209;144052788;116875381;124036671;114969675;101304918;130245322;107936333;100824019;121304649;136775549;151937056;170673172;117167836;108588004;99936229;91460760;89468154;100267598;99609073;83705860;108015491;129319664;119397917;174327124;160081725;104791982;94593947;76744719;78254712;89271449;85651283;83924938;107613588;109373279;138552335;142246195;186239634;85212341;82350448;87899424;111062193;88308297;71271487;114764283;119188934;96188141;91104903;143156981;85338500;70703650;81499090;70785669;69229236;59983397;60276389;61276225
Gorduras e óleos animais, vegetais ou de origem microbiana -  produtos da sua dissociação -  gorduras alimentícias elaboradas -  ceras de origem animal ou vegetal;41505825;46757308;42778677;31813998;25091273;29729934;30476641;32123748;24087031;30128416;38644376;30182029;34826887;33960303;29238131;30943498;26534215;31044321;34607101;27393107;27840074;31344689;21152008;18248694;27837972;33597565;28168946;26801757;22218102;28665164;24813381;28395811;22502546;24896895;31300302;22527129;29501261;29229610;30069764;29189804;21719846;28275296;25036337;25878505;25398006;23247887;33842233;25459147;24581891;33803977;29135102;32235438;23784156;27349192;33719061;30165972;24746206;24348443;20530727;28641304
Produtos das indústrias alimentares -  bebidas, líquidos alcoólicos e vinagres -  tabaco e seus sucedâneos manufaturados -  produtos, mesmo contendo nicotina, destinados à inalação sem combustão -  outros produtos que contenham nicotina destinados à absorção da nicotina pelo corpo humano;168402955;194051608;187059190;184672806;163293918;176233950;179374447;180318453;162136402;194874687;144623946;162170440;145556479;184469627;165574945;183942479;167215450;174518413;175543015;163420974;169110420;162165580;157185675;138611143;153034915;174521747;176078332;168910169;144411977;176473069;165466956;151393708;155674067;175848645;152727440;146433054;179158705;190068100;219757254;190555508;158500373;184383170;186534361;169738560;176363558;177182832;157420356;161417398;161144756;206211532;218782925;170994541;143404431;174776826;167604389;189354008;196032827;161062133;149237102;165930792
